first_name,last_name,email,phone,age,city,occupation,education,course_interest,lead_source,budget,preferred_schedule,previous_ai_experience,interaction_count,assigned_sales_rep,days_since_created,purchased,status,payment_status
גיא,שגב,56.גיא.שגב@example.com,0586654683,31.0,ראשון לציון,סטודנט,תואר ראשון,Machine Learning,Organic,4030.0,ערב,0,4,מאיה בר,126,0,New,pending
עדי,אוחיון,57.עדי.אוחיון@example.com,0584327480,46.0,רעננה,מנהל שיווק,תואר ראשון,Prompt Engineering,Website,4030.0,ערב,0,5,נועה גל,54,1,Won,paid
רותם,סלומון,58.רותם.סלומון@example.com,0597426232,25.0,הרצליה,מעצב,תיכונית,AI Agents,Google Ads,8290.0,גמיש,1,2,נועה גל,129,0,Offer Sent,pending
עידו,אוחיון,59.עידו.אוחיון@example.com,0560800705,42.0,באר שבע,מנהל שיווק,תואר ראשון,Machine Learning,Facebook,5630.0,ערב,0,1,יוסי כהן,121,0,New,pending
ניר,נחום,60.ניר.נחום@example.com,0581951505,18.0,רמת גן,אחר,תואר ראשון,Python for AI,Facebook,650.0,בוקר,0,2,יוסי כהן,160,0,New,pending
יובל,דהן,61.יובל.דהן@example.com,0549996887,30.0,תל אביב,אנליסט,תואר שני,Prompt Engineering,Instagram,1150.0,גמיש,1,1,נועה גל,177,0,Follow-up,pending
מיכל,גבאי,62.מיכל.גבאי@example.com,0555797661,,אשדוד,מנהל שיווק,תואר ראשון,Prompt Engineering,Instagram,1310.0,ערב,0,2,נועה גל,140,0,Contacted,pending
נדב,לוי,63.נדב.לוי@example.com,0537110476,38.0,רמת גן,אנליסט,תיכונית,AI Automation,WhatsApp,3720.0,גמיש,1,4,מאיה בר,71,1,Won,paid
אסף,שפירא,64.אסף.שפירא@example.com,0599730868,39.0,פתח תקווה,איש מכירות,תיכונית,Prompt Engineering,Event,1530.0,בוקר,0,1,נועה גל,58,0,Follow-up,pending
רון,כהן,65.רון.כהן@example.com,0543756205,40.0,תל אביב,אנליסט,הנדסאי,Data Science,Facebook,9500.0,בוקר,0,1,יוסי כהן,83,0,Offer Sent,pending
רותם,רוזן,66.רותם.רוזן@example.com,0572818424,30.0,חיפה,,הנדסאי,Machine Learning,WhatsApp,5280.0,בוקר,0,2,אורי שרון,26,0,Contacted,pending
גלי,אברהם,67.גלי.אברהם@example.com,0591728339,29.0,תל אביב,מעצב,תואר שני,AI Automation,Referral,5480.0,ערב,1,5,אורי שרון,3,1,Won,paid
טל,רוזן,68.טל.רוזן@example.com,0575671428,41.0,תל אביב,יזם,תואר שני,Prompt Engineering,Google Ads,2550.0,ערב,1,0,אורי שרון,151,0,Counseling,pending
מיכל,דהן,69.מיכל.דהן@example.com,0584555222,31.0,רעננה,יזם,תיכונית,AI Automation,Event,3490.0,ערב,0,4,יוסי כהן,159,0,Interested,pending
עדי,פרידמן,70.עדי.פרידמן@example.com,0513515283,22.0,ירושלים,סטודנט,תואר שני,AI Agents,Referral,4720.0,ערב,0,2,דנה לוי,170,1,Won,paid
יעל,סלומון,71.יעל.סלומון@example.com,0516535602,23.0,ירושלים,מפתח תוכנה,תיכונית,Prompt Engineering,Website,2190.0,ערב,1,0,דנה לוי,104,0,Offer Sent,pending
אורן,אשכנזי,72.אורן.אשכנזי@example.com,0542203034,25.0,רמת גן,מהנדס,,AI Automation,Instagram,3390.0,ערב,1,2,יוסי כהן,136,0,New,pending
עומר,מזרחי,73.עומר.מזרחי@example.com,0571241216,37.0,חיפה,איש מכירות,תיכונית,Python for AI,Instagram,3100.0,בוקר,0,0,יוסי כהן,154,0,Lost,pending
אורן,סלומון,74.אורן.סלומון@example.com,0549219744,34.0,באר שבע,מפתח תוכנה,תואר ראשון,Prompt Engineering,WhatsApp,1760.0,ערב,1,1,יוסי כהן,95,0,Contacted,pending
אביב,סלומון,75.אביב.סלומון@example.com,0583360404,39.0,תל אביב,מפתח תוכנה,תואר שני,Python for AI,Instagram,7300.0,גמיש,1,4,מאיה בר,45,1,Won,paid
ניר,אברהם,76.ניר.אברהם@example.com,0535091701,29.0,רעננה,סטודנט,הנדסאי,Python for AI,Facebook,3940.0,גמיש,1,3,דנה לוי,18,0,New,pending
ענבר,שפירא,77.ענבר.שפירא@example.com,0527086790,34.0,מודיעין,איש מכירות,תיכונית,AI Automation,Instagram,4480.0,בוקר,0,3,מאיה בר,19,0,Follow-up,pending
איתי,גבאי,78.איתי.גבאי@example.com,0528156113,39.0,חיפה,מנהל שיווק,תואר שני,AI Automation,Google Ads,3910.0,ערב,0,2,דנה לוי,28,0,Offer Sent,pending
יונתן,פרץ,79.יונתן.פרץ@example.com,0572420705,30.0,ירושלים,מורה,תואר ראשון,Data Science,Google Ads,3940.0,ערב,0,3,מאיה בר,140,0,Lost,pending
שני,גבאי,80.שני.גבאי@example.com,0573866030,37.0,רמת גן,מפתח תוכנה,תואר שני,Prompt Engineering,WhatsApp,670.0,ערב,0,3,אורי שרון,76,0,Lost,pending
אלון,שפירא,81.אלון.שפירא@example.com,0527304678,27.0,אשדוד,מהנדס,תואר ראשון,AI Agents,Google Ads,4830.0,ערב,0,2,נועה גל,31,1,Won,paid
רון,אשכנזי,82.רון.אשכנזי@example.com,0569145274,30.0,תל אביב,אנליסט,תיכונית,Machine Learning,WhatsApp,4840.0,גמיש,0,2,אורי שרון,62,0,Contacted,pending
רותם,אוחיון,83.רותם.אוחיון@example.com,0540921843,30.0,ראשון לציון,סטודנט,תואר ראשון,AI Automation,Website,4630.0,גמיש,0,2,אורי שרון,172,0,Contacted,pending
אורן,נחום,84.אורן.נחום@example.com,0554652679,22.0,ירושלים,אחר,תואר שני,Data Science,Website,6780.0,ערב,1,4,אורי שרון,165,0,Contacted,pending
מור,אשכנזי,85.מור.אשכנזי@example.com,0580784406,37.0,ירושלים,מעצב,תיכונית,Machine Learning,Facebook,4420.0,ערב,0,2,מאיה בר,88,1,Won,paid
איתי,נחום,86.איתי.נחום@example.com,0536901330,29.0,ראשון לציון,מנהל שיווק,תיכונית,AI Agents,Instagram,8900.0,ערב,0,2,יוסי כהן,101,0,New,pending
גלי,אזולאי,87.גלי.אזולאי@example.com,0510831005,33.0,באר שבע,מהנדס,תואר ראשון,AI Automation,WhatsApp,4560.0,"סופ""ש",0,0,אורי שרון,24,0,Interested,pending
יובל,ביטון,88.יובל.ביטון@example.com,0520972152,37.0,ראשון לציון,מפתח תוכנה,תואר שני,Python for AI,Organic,2970.0,"סופ""ש",0,5,יוסי כהן,115,0,New,pending
אורן,אשכנזי,89.אורן.אשכנזי@example.com,0536328554,37.0,באר שבע,מפתח תוכנה,תואר ראשון,Prompt Engineering,Google Ads,2040.0,בוקר,0,2,דנה לוי,177,0,Contacted,pending
אורי,ברק,90.אורי.ברק@example.com,0547556932,39.0,תל אביב,,תואר שני,Python for AI,WhatsApp,4830.0,בוקר,1,2,נועה גל,9,1,Won,paid
אסף,אשכנזי,91.אסף.אשכנזי@example.com,0522802641,32.0,תל אביב,אנליסט,תיכונית,Python for AI,Organic,2690.0,"סופ""ש",0,2,מאיה בר,4,0,Lost,pending
ליאור,פרידמן,92.ליאור.פרידמן@example.com,0515560207,29.0,ירושלים,מעצב,תואר ראשון,Python for AI,Facebook,5020.0,ערב,1,1,מאיה בר,107,1,Won,paid
עידו,שגב,93.עידו.שגב@example.com,0560808178,32.0,ראשון לציון,,תואר שני,Python for AI,Website,,"סופ""ש",0,0,דנה לוי,51,0,Follow-up,pending
אורן,שגב,94.אורן.שגב@example.com,0550636863,18.0,ירושלים,מנהל שיווק,הנדסאי,Machine Learning,Organic,4820.0,ערב,0,4,אורי שרון,78,0,Lost,pending
רועי,אזולאי,95.רועי.אזולאי@example.com,0582800110,20.0,נתניה,איש מכירות,תואר ראשון,Data Science,Organic,4000.0,בוקר,1,1,יוסי כהן,165,0,Lost,pending
יובל,ברק,96.יובל.ברק@example.com,0521242965,21.0,אשדוד,סטודנט,תואר ראשון,Machine Learning,Facebook,7280.0,בוקר,0,3,אורי שרון,12,0,Lost,pending
אסף,גבאי,97.אסף.גבאי@example.com,0567964646,24.0,רעננה,מפתח תוכנה,תואר ראשון,AI Agents,Instagram,3370.0,"סופ""ש",0,3,אורי שרון,95,0,New,pending
עומר,אברהם,98.עומר.אברהם@example.com,0564112402,37.0,מודיעין,סטודנט,תואר שני,AI Automation,Google Ads,5390.0,ערב,0,1,דנה לוי,83,0,Lost,pending
אורן,שפירא,99.אורן.שפירא@example.com,0566409781,25.0,חיפה,איש מכירות,דוקטורט,Python for AI,Instagram,2760.0,בוקר,0,1,מאיה בר,164,0,Lost,pending
יונתן,רוזן,100.יונתן.רוזן@example.com,0595761092,30.0,מודיעין,מנהל שיווק,תואר ראשון,Python for AI,Facebook,4870.0,ערב,0,0,נועה גל,8,1,Won,paid
ניר,גבאי,101.ניר.גבאי@example.com,0534478103,45.0,הרצליה,אחר,תואר שני,Data Science,Website,,גמיש,1,2,דנה לוי,154,0,Interested,pending
יונתן,אברהם,102.יונתן.אברהם@example.com,0553593465,,חיפה,מהנדס,תואר שני,Prompt Engineering,Google Ads,1620.0,ערב,0,2,דנה לוי,176,0,Contacted,pending
עומר,אוחיון,103.עומר.אוחיון@example.com,0594347075,40.0,חיפה,איש מכירות,תואר ראשון,Data Science,Facebook,4960.0,גמיש,1,3,אורי שרון,179,1,Won,paid
רון,ביטון,104.רון.ביטון@example.com,0591944500,25.0,תל אביב,איש מכירות,תואר שני,Machine Learning,Website,9350.0,גמיש,0,2,אורי שרון,46,0,Follow-up,pending
יעל,מזרחי,105.יעל.מזרחי@example.com,0579352290,31.0,הרצליה,יזם,תיכונית,Prompt Engineering,Facebook,2930.0,בוקר,0,4,יוסי כהן,91,0,Follow-up,pending
נועה,אברהם,106.נועה.אברהם@example.com,0562220080,24.0,ראשון לציון,מהנדס,,AI Agents,Google Ads,6450.0,גמיש,0,5,מאיה בר,133,0,Contacted,pending
אלון,שפירא,107.אלון.שפירא@example.com,0595067343,30.0,ירושלים,יזם,הנדסאי,Data Science,Organic,3960.0,ערב,0,5,דנה לוי,72,0,New,pending
איתי,מזרחי,108.איתי.מזרחי@example.com,0539097334,41.0,אשדוד,סטודנט,,Python for AI,WhatsApp,1420.0,"סופ""ש",1,1,דנה לוי,80,0,Counseling,pending
גיא,רוזן,109.גיא.רוזן@example.com,0586180770,18.0,הרצליה,אנליסט,תואר ראשון,Data Science,Instagram,,ערב,0,2,מאיה בר,52,0,New,pending
אורי,לוי,110.אורי.לוי@example.com,0578246518,37.0,נתניה,איש מכירות,הנדסאי,Machine Learning,WhatsApp,4830.0,"סופ""ש",1,5,אורי שרון,168,0,New,pending
אורן,ביטון,111.אורן.ביטון@example.com,0594253781,35.0,באר שבע,סטודנט,תיכונית,AI Agents,WhatsApp,3050.0,"סופ""ש",0,5,אורי שרון,17,0,Contacted,pending
ניר,אזולאי,112.ניר.אזולאי@example.com,0512724657,28.0,ירושלים,איש מכירות,תואר ראשון,AI Automation,Website,4450.0,בוקר,0,2,מאיה בר,6,0,New,pending
עומר,אוחיון,113.עומר.אוחיון@example.com,0593446903,20.0,אשדוד,אחר,תיכונית,AI Automation,Event,820.0,ערב,1,3,נועה גל,140,0,Interested,pending
יונתן,שגב,114.יונתן.שגב@example.com,0545364122,34.0,אשדוד,סטודנט,,Machine Learning,Instagram,,ערב,0,3,דנה לוי,18,0,Counseling,pending
ענבר,אזולאי,115.ענבר.אזולאי@example.com,0558083583,28.0,ראשון לציון,סטודנט,דוקטורט,AI Agents,Facebook,3890.0,בוקר,0,0,דנה לוי,172,0,Contacted,pending
גלי,רוזן,116.גלי.רוזן@example.com,0555014473,35.0,רמת גן,אנליסט,תואר שני,Machine Learning,Organic,6930.0,ערב,1,2,יוסי כהן,154,0,Lost,pending
רותם,ברק,117.רותם.ברק@example.com,0561574592,33.0,ירושלים,מנהל שיווק,הנדסאי,AI Automation,Google Ads,3990.0,"סופ""ש",0,2,יוסי כהן,99,0,New,pending
גיא,דהן,118.גיא.דהן@example.com,0546534191,47.0,ראשון לציון,מורה,תואר ראשון,AI Automation,Instagram,4850.0,ערב,1,4,מאיה בר,79,0,Lost,pending
אסף,ברק,119.אסף.ברק@example.com,0518111885,31.0,חיפה,סטודנט,תיכונית,Prompt Engineering,Facebook,4340.0,בוקר,1,5,אורי שרון,106,0,New,pending
עידו,שפירא,120.עידו.שפירא@example.com,0568212130,24.0,מודיעין,מנהל שיווק,תואר ראשון,AI Automation,Facebook,2940.0,גמיש,0,0,דנה לוי,148,0,Offer Sent,pending
יונתן,אזולאי,121.יונתן.אזולאי@example.com,0518300004,35.0,באר שבע,יזם,הנדסאי,Prompt Engineering,Facebook,900.0,ערב,0,5,נועה גל,82,0,Interested,pending
ליאור,אוחיון,122.ליאור.אוחיון@example.com,0512994953,35.0,ירושלים,סטודנט,תואר ראשון,AI Automation,Facebook,5930.0,"סופ""ש",1,5,אורי שרון,157,0,Lost,pending
ניר,אברהם,123.ניר.אברהם@example.com,0564882604,45.0,ירושלים,מפתח תוכנה,תיכונית,Prompt Engineering,Event,4900.0,בוקר,1,5,דנה לוי,106,0,Contacted,pending
עידו,אזולאי,124.עידו.אזולאי@example.com,0577518643,41.0,מודיעין,אנליסט,דוקטורט,Prompt Engineering,Instagram,4920.0,"סופ""ש",1,3,מאיה בר,173,0,Interested,pending
ליאור,אברהם,125.ליאור.אברהם@example.com,0563723397,36.0,מודיעין,איש מכירות,הנדסאי,Prompt Engineering,Organic,500.0,"סופ""ש",1,3,דנה לוי,17,0,Lost,pending
יעל,גבאי,126.יעל.גבאי@example.com,0557780506,46.0,אשדוד,סטודנט,תואר ראשון,AI Agents,Facebook,6070.0,בוקר,1,1,נועה גל,169,0,Contacted,pending
אסף,אשכנזי,127.אסף.אשכנזי@example.com,0539346827,22.0,ראשון לציון,מפתח תוכנה,הנדסאי,AI Automation,Instagram,2330.0,ערב,0,2,דנה לוי,8,0,New,pending
איתי,רוזן,128.איתי.רוזן@example.com,0547778984,27.0,נתניה,מנהל שיווק,תואר ראשון,Python for AI,WhatsApp,4930.0,בוקר,0,1,יוסי כהן,79,0,Lost,pending
גלי,דהן,129.גלי.דהן@example.com,0574173580,25.0,רמת גן,מעצב,תואר שני,Prompt Engineering,Facebook,2420.0,בוקר,0,3,נועה גל,18,0,Follow-up,pending
גלי,נחום,130.גלי.נחום@example.com,0578230588,29.0,תל אביב,איש מכירות,תיכונית,Python for AI,Instagram,2510.0,"סופ""ש",0,1,מאיה בר,179,0,Lost,pending
גיא,נחום,131.גיא.נחום@example.com,0561135729,21.0,תל אביב,סטודנט,תיכונית,Python for AI,Organic,2420.0,"סופ""ש",0,1,מאיה בר,10,0,Follow-up,pending
אלון,ברק,132.אלון.ברק@example.com,0580626909,39.0,באר שבע,יזם,תיכונית,AI Agents,Facebook,3700.0,ערב,0,4,דנה לוי,152,0,Interested,pending
מור,שגב,133.מור.שגב@example.com,0544224171,31.0,באר שבע,מעצב,תואר ראשון,AI Automation,Facebook,1960.0,ערב,0,2,דנה לוי,36,0,Interested,pending
עדי,מזרחי,134.עדי.מזרחי@example.com,0520771027,20.0,ראשון לציון,מהנדס,תואר ראשון,AI Automation,Event,3390.0,ערב,0,3,יוסי כהן,34,0,Interested,pending
איתי,אזולאי,135.איתי.אזולאי@example.com,0563491388,24.0,חיפה,מורה,תואר שני,Data Science,Google Ads,6690.0,ערב,0,4,אורי שרון,125,0,Offer Sent,pending
עידו,פרץ,136.עידו.פרץ@example.com,0534145161,36.0,נתניה,מעצב,תואר שני,Python for AI,Referral,6070.0,ערב,0,6,מאיה בר,87,1,Won,paid
תמר,כהן,137.תמר.כהן@example.com,0542330255,41.0,אשדוד,מפתח תוכנה,תיכונית,Python for AI,Facebook,3860.0,ערב,1,0,נועה גל,156,1,Won,paid
גלי,מזרחי,138.גלי.מזרחי@example.com,0529211141,51.0,הרצליה,מנהל שיווק,תואר שני,Python for AI,Instagram,3210.0,ערב,1,3,דנה לוי,23,0,New,pending
הדר,אברהם,139.הדר.אברהם@example.com,0588334512,59.0,באר שבע,מהנדס,תואר שני,Machine Learning,Google Ads,5220.0,גמיש,1,0,נועה גל,39,1,Won,paid
עומר,אוחיון,140.עומר.אוחיון@example.com,0573132272,37.0,חיפה,אנליסט,תואר ראשון,Prompt Engineering,Referral,500.0,ערב,0,3,אורי שרון,149,0,Contacted,pending
מיכל,אוחיון,141.מיכל.אוחיון@example.com,0538881985,24.0,תל אביב,סטודנט,תואר ראשון,AI Agents,Instagram,4480.0,ערב,0,0,יוסי כהן,4,0,Contacted,pending
יעל,אוחיון,142.יעל.אוחיון@example.com,0569977584,18.0,פתח תקווה,מורה,תואר שני,AI Automation,WhatsApp,4400.0,ערב,1,2,יוסי כהן,141,1,Won,paid
מיכל,גבאי,143.מיכל.גבאי@example.com,0583191195,35.0,תל אביב,מהנדס,תואר ראשון,Machine Learning,Organic,,"סופ""ש",0,3,מאיה בר,173,0,New,pending
